Edgenumber     Point1      Point2
1                 1         665
2                36         666
3                37         667
4                38         668
5                39         669
6                40         670
7                41         671
8                42         672
9                43         673
10                44         674
11                45         675
12                46         676
13                47         677
14                48         678
15                49         679
16                 2         680
17                 3         681
18                50         682
19                 4         683
20                 5         684
21                51         685
22                 6         686
23                 7         687
24                 8         688
25                 9         689
26                10         690
27                52         691
28                11         692
29                12         693
30                53         694
31                13         695
32                14         696
33                54         697
34                15         698
35                55         699
36                17         700
37                56         701
38                18         702
39                19         703
40                20         704
41                57         705
42                21         706
43                58         707
44                22         708
45                23         709
46                24         710
47                59         711
48                25         712
49                26         713
50                60         714
51                27         715
52                61         716
53                28         717
54                29         718
55                62         719
56                30         720
57                63         721
58                31         722
59                32         723
60                64         724
61                33         725
62                34         726
63                65         727
64                17         728
65                35         729
66               184         730
67               185         731
68               186         732
69               187         733
70               188         734
71               189         735
72               190         736
73               191         737
74               192         738
75               193         739
76               194         740
77               195         741
78               196         742
79               197         743
80               198         744
81               199         745
82               200         746
83               201         747
84               202         748
85               203         749
86               204         750
87               205         751
88               206         752
89               207         753
90               208         754
91               209         755
92               210         756
93               211         757
94               212         758
95               213         759
96               214         760
97               215         761
98               216         762
99               217         763
100               218         764
101               219         765
102               220         766
103               221         767
104               222         768
105               223         769
106               224         770
107               225         771
108               226         772
109               227         773
110               228         774
111               229         775
112               230         776
113               231         777
114               232         778
115               233         779
116               234         780
117               235         781
118               236         782
119               237         783
120               238         784
121               239         785
122               240         786
123               241         787
124               242         788
125               243         789
126               244         790
127               245         791
128               246         792
129               247         793
130               248         794
131               665         184
132               666         185
133               667         186
134               668         187
135               669         188
136               670         189
137               671         190
138               672         191
139               673         192
140               674         193
141               675         194
142               676         195
143               677         196
144               678         197
145               679         198
146               680         199
147               681         200
148               682         201
149               683         202
150               684         203
151               685         204
152               686         205
153               687         206
154               688         207
155               689         208
156               690         209
157               691         210
158               692         211
159               693         212
160               694         213
161               695         214
162               696         215
163               697         216
164               698         217
165               699         218
166               700         219
167               701         220
168               702         221
169               703         222
170               704         223
171               705         224
172               706         225
173               707         226
174               708         227
175               709         228
176               710         229
177               711         230
178               712         231
179               713         232
180               714         233
181               715         234
182               716         235
183               717         236
184               718         237
185               719         238
186               720         239
187               721         240
188               722         241
189               723         242
190               724         243
191               725         244
192               726         245
193               727         246
194               728         247
195               729         248
196               730          36
197               731          37
198               732          38
199               733          39
200               734          40
201               735          41
202               736          42
203               737          43
204               738          44
205               739          45
206               740          46
207               741          47
208               742          48
209               743          49
210               744           2
211               745           3
212               746          50
213               747           4
214               748           5
215               749          51
216               750           6
217               751           7
218               752           8
219               753           9
220               754          10
221               755          52
222               756          11
223               757          12
224               758          53
225               759          13
226               760          14
227               761          54
228               762          15
229               763          55
230               764          16
231               765          56
232               766          18
233               767          19
234               768          20
235               769          57
236               770          21
237               771          58
238               772          22
239               773          23
240               774          24
241               775          59
242               776          25
243               777          26
244               778          60
245               779          27
246               780          61
247               781          28
248               782          29
249               783          62
250               784          30
251               785          63
252               786          31
253               787          32
254               788          64
255               789          33
256               790          34
257               791          65
258               792           1
259               793          35
260               794          16
