PointNumber          x          y
1             0.001645      0.988487
2             0.001645     -0.991776
3             0.123355     -0.978618
4             0.261513     -0.942434
5             0.373355     -0.912829
6             0.491776     -0.870066
7             0.567434     -0.817434
8             0.626645     -0.761513
9             0.669408     -0.692434
10             0.695724     -0.620066
11             0.722039     -0.534539
12             0.725329     -0.488487
13             0.712171     -0.383224
14             0.695724     -0.340461
15             0.656250     -0.248355
16             0.600329     -0.172697
17             0.554276     -0.034539
18             0.521382      0.060855
19             0.501645      0.103618
20             0.478618      0.162829
21             0.432566      0.251645
22             0.376645      0.333882
23             0.317434      0.412829
24             0.291118      0.491776
25             0.268092      0.577303
26             0.241776      0.652961
27             0.215461      0.725329
28             0.195724      0.777961
29             0.175987      0.807566
30             0.156250      0.856908
31             0.120066      0.906250
32             0.087171      0.935855
33             0.060855      0.972039
34             0.041118      0.985197
35             0.574013     -0.093750
36             0.001645      0.957695
37             0.001645      0.917666
38             0.001645      0.865627
39             0.001645      0.797978
40             0.001645      0.710033
41             0.001645      0.595705
42             0.001645      0.447079
43             0.001645      0.249273
44             0.001645      0.051468
45             0.001645     -0.146338
46             0.001645     -0.344143
47             0.001645     -0.541949
48             0.001645     -0.739754
49             0.001645     -0.882202
50             0.201445     -0.958166
51             0.440289     -0.888658
52             0.710598     -0.571725
53             0.718823     -0.436439
54             0.678561     -0.300415
55             0.631936     -0.215461
56             0.535684      0.019379
57             0.458596      0.201445
58             0.408252      0.287400
59             0.278104      0.540117
60             0.226902      0.693864
61             0.204305      0.755077
62             0.167406      0.829019
63             0.135798      0.884797
64             0.072297      0.956307
65             0.023956      0.986628
66             0.378786     -0.506821
67             0.270209     -0.101951
68             0.240118      0.205574
69             0.174672      0.383232
70             0.139855     -0.775807
71             0.139851      0.556315
72             0.108727      0.739366
73             0.081598      0.829107
74             0.046876      0.919748
75             0.346298     -0.715979
76             0.450496     -0.302454
77             0.243686     -0.334829
78             0.547775     -0.495633
79             0.139270      0.022751
80             0.327451      0.060547
81             0.421913     -0.114031
82             0.239210      0.313442
83             0.144158      0.277744
84             0.216033      0.483059
85             0.113655      0.462398
86             0.167194     -0.893377
87             0.079217      0.633095
88             0.213696      0.584974
89             0.171324      0.686072
90             0.059338      0.771790
91             0.145296      0.758327
92             0.053022      0.874922
93             0.128758      0.837328
94             0.031363      0.944035
95             0.067428      0.933605
96             0.152835     -0.610610
97             0.130945     -0.427857
98             0.505733     -0.690378
99             0.158420     -0.105665
100             0.343024     -0.261698
101             0.276308     -0.823085
102             0.125739      0.150316
103             0.584693     -0.364611
104             0.323273      0.193477
105             0.086684      0.364091
106             0.426792      0.005166
107             0.498284     -0.218688
108             0.619207     -0.557037
109             0.246701     -0.011449
110             0.252475      0.397572
111             0.498145     -0.088767
112             0.066753      0.539144
113             0.153738      0.633294
114             0.073478      0.708438
115             0.121221      0.687046
116             0.099509      0.873299
117             0.111879      0.789190
118             0.183103      0.730154
119             0.039225      0.827905
120             0.024780      0.901253
121             0.150513      0.798839
122             0.175588      0.771359
123             0.021193      0.928120
124             0.052274      0.948620
125             0.035178      0.965726
126             0.130221     -0.259713
127             0.259218     -0.477854
128             0.356377     -0.384122
129             0.424515     -0.622785
130             0.247575     -0.201940
131             0.407424     -0.815718
132             0.242070     -0.706135
133             0.075138     -0.044258
134             0.469774     -0.425668
135             0.229070      0.094605
136             0.539695     -0.281166
137             0.616914     -0.459732
138             0.544465     -0.591857
139             0.588072     -0.683620
140             0.356922     -0.041798
141             0.417760      0.076809
142             0.325537      0.270417
143             0.421493     -0.199830
144             0.535737     -0.157726
145             0.633882     -0.339153
146             0.391415      0.213567
147             0.301897      0.345655
148             0.268918      0.446412
149             0.488428     -0.018444
150             0.665833     -0.582810
151             0.201093      0.650420
152             0.078892      0.907310
153             0.145262      0.720381
154             0.299368     -0.606274
155             0.471734     -0.528015
156             0.493145     -0.776921
157             0.343106     -0.152609
158             0.364017      0.139179
159             0.645899     -0.508822
160             0.296563      0.138756
161             0.629977     -0.621192
162             0.530188     -0.351493
163             0.561018     -0.415240
164             0.569589     -0.219831
165             0.474880     -0.155051
166             0.477592      0.037267
167             0.438333     -0.050993
168             0.382137      0.025601
169             0.612617     -0.275088
170             0.668556     -0.420295
171             0.460401      0.114770
172             0.434370     -0.723911
173             0.555693     -0.745721
174             0.600603     -0.511950
175             0.621437     -0.395798
176             0.428412      0.151474
177             0.677190     -0.470566
178             0.579770     -0.322078
179             0.475728      0.078759
180             0.666163     -0.375813
181             0.675161     -0.544078
182             0.577066     -0.538933
183             0.688949     -0.509356
184             0.001645      0.973091
185             0.001645      0.937680
186             0.001645      0.891646
187             0.001645      0.831803
188             0.001645      0.754005
189             0.001645      0.652869
190             0.001645      0.521392
191             0.001645      0.348176
192             0.001645      0.150370
193             0.001645     -0.047435
194             0.001645     -0.245241
195             0.001645     -0.443046
196             0.001645     -0.640852
197             0.001645     -0.810978
198             0.001645     -0.936989
199             0.062500     -0.985197
200             0.162400     -0.968392
201             0.231479     -0.950300
202             0.317434     -0.927632
203             0.406822     -0.900744
204             0.466033     -0.879362
205             0.529605     -0.843750
206             0.597039     -0.789474
207             0.648026     -0.726974
208             0.682566     -0.656250
209             0.703161     -0.595895
210             0.716319     -0.553132
211             0.723684     -0.511513
212             0.722076     -0.462463
213             0.715497     -0.409831
214             0.703947     -0.361842
215             0.687142     -0.320438
216             0.667406     -0.274385
217             0.644093     -0.231908
218             0.616133     -0.194079
219             0.544980     -0.007580
220             0.528533      0.040117
221             0.511513      0.082237
222             0.490132      0.133224
223             0.468607      0.182137
224             0.445581      0.226545
225             0.420409      0.269522
226             0.392449      0.310641
227             0.347039      0.373355
228             0.304276      0.452303
229             0.284611      0.515947
230             0.273098      0.558710
231             0.254934      0.615132
232             0.234339      0.673412
233             0.221181      0.709597
234             0.209883      0.740203
235             0.200014      0.766519
236             0.185855      0.792763
237             0.171696      0.818292
238             0.161828      0.842963
239             0.146024      0.870852
240             0.127932      0.895523
241             0.103618      0.921053
242             0.079734      0.946081
243             0.066576      0.964173
244             0.050987      0.978618
245             0.032537      0.985912
246             0.012800      0.987557
247             0.564145     -0.064145
248             0.587171     -0.133224
249             0.062500     -0.930410
250             0.012800      0.972161
251             0.070750     -0.757781
252             0.070750     -0.829004
253             0.070457      0.037110
254             0.239664      0.259508
255             0.206941      0.348337
256             0.072901      0.263509
257             0.192138      0.241659
258             0.159415      0.330488
259             0.191684      0.295593
260             0.253576      0.487418
261             0.247068      0.511588
262             0.195353      0.433146
263             0.177942      0.519687
264             0.057650      0.454738
265             0.144163      0.422815
266             0.126753      0.509356
267             0.164844      0.472729
268             0.145275     -0.935998
269             0.214354     -0.917905
270             0.084419     -0.887789
271             0.184319     -0.925772
272             0.153525     -0.834592
273             0.040431      0.671564
274             0.040431      0.614400
275             0.109534      0.594705
276             0.240894      0.581138
277             0.227736      0.618967
278             0.245900      0.562546
279             0.176774      0.570644
280             0.214865      0.534016
281             0.199113      0.689968
282             0.030491      0.784884
283             0.030491      0.740912
284             0.084033      0.755578
285             0.070468      0.800448
286             0.127012      0.748847
287             0.027334      0.870275
288             0.067310      0.852015
289             0.049949      0.897335
290             0.142504      0.847118
291             0.148082      0.833174
292             0.132278      0.861063
293             0.105178      0.833217
294             0.016504      0.950865
295             0.039119      0.931892
296             0.077300      0.934730
297             0.069863      0.944956
298             0.057152      0.926677
299             0.077240     -0.576280
300             0.077240     -0.675182
301             0.146345     -0.693209
302             0.066295     -0.386000
303             0.066295     -0.484903
304             0.187316     -0.381343
305             0.141890     -0.519234
306             0.080032     -0.126001
307             0.214314     -0.103808
308             0.148845     -0.041457
309             0.396760     -0.282076
310             0.293355     -0.298263
311             0.268911     -0.882760
312             0.324832     -0.867957
313             0.208082     -0.799446
314             0.311303     -0.769532
315             0.221751     -0.858231
316             0.063692      0.199795
317             0.063692      0.100892
318             0.182929      0.177945
319             0.132505      0.086534
320             0.134948      0.214030
321             0.281695      0.199526
322             0.044164      0.405585
323             0.044164      0.306682
324             0.130678      0.373662
325             0.115421      0.320918
326             0.100169      0.413245
327             0.474390     -0.260571
328             0.258455     -0.056700
329             0.192986      0.005651
330             0.287076      0.024549
331             0.202560     -0.058557
332             0.284955      0.405200
333             0.213574      0.390402
334             0.245843      0.355507
335             0.234254      0.440315
336             0.526211     -0.061653
337             0.536079     -0.091259
338             0.460029     -0.101399
339             0.034199      0.567425
340             0.034199      0.493111
341             0.103302      0.547729
342             0.090204      0.500771
343             0.072985      0.586120
344             0.146795      0.594804
345             0.116477      0.633195
346             0.183717      0.609134
347             0.162531      0.659683
348             0.037561      0.709235
349             0.091103      0.723902
350             0.076347      0.670767
351             0.066408      0.740114
352             0.114974      0.713206
353             0.100219      0.660071
354             0.146272      0.686559
355             0.137479      0.660170
356             0.097349      0.697742
357             0.109787      0.889774
358             0.117653      0.879048
359             0.090553      0.851203
360             0.076265      0.874110
361             0.114133      0.855313
362             0.110303      0.764278
363             0.096738      0.809149
364             0.085608      0.780490
365             0.128588      0.773759
366             0.120318      0.813259
367             0.199282      0.727742
368             0.205003      0.712009
369             0.193704      0.742616
370             0.177214      0.708113
371             0.164200      0.744241
372             0.020435      0.846766
373             0.020435      0.812941
374             0.060411      0.828506
375             0.049281      0.799847
376             0.046123      0.851414
377             0.013212      0.909459
378             0.013212      0.883440
379             0.035828      0.910501
380             0.038901      0.888088
381             0.163250      0.803203
382             0.158959      0.813929
383             0.147905      0.778583
384             0.139635      0.818084
385             0.131196      0.794015
386             0.185656      0.774660
387             0.175787      0.789462
388             0.189946      0.763218
389             0.160442      0.764843
390             0.179346      0.750756
391             0.163050      0.785099
392             0.011419      0.942908
393             0.011419      0.922893
