TriangleNumber  Punt1  Punt2  Punt3
           1     86    865    858
           2      4    861    747
           3    101   1008    995
           4      3    797    745
           5      5    998    748
           6    101    999   1515
           7      6   1503    750
           8    131   1504   1939
           9     17   1092    728
          10    156   1934   2285
          11    139   1615   1618
          12     13   2223    759
          13    111   1093   1781
          14    166   2133   2130
          15    142   1649   1745
          16     88    893   1803
          17    166   2130   2420
          18    118   1228   1224
          19     33   1361    789
          20     31   1179    786
          21    122   1316   1307
          22     31   1819   1179
          23     29   1310    782
          24    122   1325   1316
          25     93    940   1195
          26     88    897    889
          27    110   1079   1765
          28     33   1383   1361
          29    179   2408   2412
          30    164   2087   2083
          31     22    708   1726
          32    139   1618   2034
          33    146   1709   1705
          34    161   2017   2021
          35     11   2457    756
          36     16    794   1681
          37    169   2201   2197
          38    156   1930   1934
          39    181   2458   2518
          40     45   1413    984
          41    170   2224   2446
          42     38   1242    925
          43     43   1013    818
          44     79    813   1547
          45     49    808    743
          46     48    961    742
          47     11    692   2499
          48     54   2200   1698
          49     45    675   1413
          50     19    703   2232
          51     90    916   1151
          52     43    673   1013
          53     42   1037    843
          54    112   1121   1102
          55     25    712    888
          56     40    670    879
          57     60   1227    910
          58    125   1384   1388
          59     38    668   1242
          60     36   1336    945
          61     36    666   1336
          62     92    928   1191
          63     36    801    730
          64    150   1789   2469
          65    145   1696   1699
          66     20   2330   2235
          67     46    676    970
          68    142   1652   1649
          69     44    674   1538
          70     59    835    775
          71     42    672   1037
          72     70    809    875
          73    131   1500   1507
          74     88    905    897
          75     41    671   1101
          76     93    936    932
          77     60   1798    778
          78     62   1287    783
          79     39    669    912
          80     32    723    949
          81     37    667   1267
          82    128   1450   1566
          83    134   1559   1917
          84     96    962    967
          85     56   2132   1775
          86    157   1962   1944
          87    128   1466   1450
          88     66   1874   1471
          89     55   2205    763
          90    157   1968   1948
          91    109   1073   1065
          92     58   1712    771
          93     68   1991   1035
          94     76   2046   1594
          95    102   1026   1582
          96    109   1071   1588
          97     84    840   1088
          98     69    823    816
          99     83    821    827
         100     83    824   1050
         101     61   1232    780
         102     84    842    851
         103     69    839    845
         104     86    858    870
         105     96    967   1528
         106     85    849   1114
         107     87    887   1130
         108     71    841    901
         109     90    920   1209
         110     91    924   1857
         111    114   1148   1173
         112    115   1168   1165
         113     63    939    785
         114    115   1165   1862
         115     31    722   1819
         116     90    922   1255
         117     95    953   1377
         118    117   1220   1206
         119     73    921   1205
         120     65    802   1396
         121    120   1276   1355
         122     74   1828    956
         123     74   1369    947
         124    101   1006   1532
         125     75   1878   1525
         126    100    993   1459
         127     96    980    959
         128    137   1602   2297
         129     10    690   1785
         130    126   1426   1423
         131    140   1639   1629
         132    126   1423   1493
         133    100    991   1673
         134    129   1474   2249
         135    101   1003   1008
         136    102   1018   1026
         137     83   1029    821
         138    149   1772   1776
         139    155   1924   1909
         140     68   1022   1572
         141     82    815   1659
         142     43    818   1041
         143     85   1056    846
         144    135   1580   2004
         145    141   1645   2190
         146    111   1100   2112
         147    107   1063   1597
         148    134   1565   2067
         149    138   1611   1606
         150     79    988   1067
         151    130   1490   1955
         152     69    816   1080
         153     23    709   1751
         154    140   1635   2164
